rays, tris, time
65536, 1, 1.9963e6
65536, 4, 2.1477e6
65536, 16, 2.4828e6
65536, 64, 3.5127e6
65536, 256, 2.0648e6
65536, 1024, 2.48652e7
65536, 4096, 7.07002e7
262144, 1, 1.37e6
262144, 4, 3.4729e6
262144, 16, 1.6777e6
262144, 64, 2.3374e6
262144, 256, 5.9928e6
262144, 1024, 3.04271e7
262144, 4096, 7.2882e7
589824, 1, 1.92e6
589824, 4, 5.8526e6
589824, 16, 2.2814e6
589824, 64, 3.3229e6
589824, 256, 1.58805e7
589824, 1024, 7.79907e7
589824, 4096, 1.51963e8
1048576, 1, 2.274e6
1048576, 4, 1.26145e7
1048576, 16, 6.6144e6
1048576, 64, 6.3666e6
1048576, 256, 2.32708e7
1048576, 1024, 7.48985e7
1048576, 4096, 2.470853e8
